makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat
Telur rebus,Beef burger,Ikan belida bakar,Kelengkeng,Onde-onde,1084.0,1
Kwetiau goreng,Spageti,Paru sapi goreng,Lemang manis isi pisang,Jus jeruk,1092.6,1
Sayur bening bayam,Pempek adaan,Gulai daging sapi,Cilok,Pempek ,1152.0,1
Udang panggang,Tumis bayam,Pecel ,Jus wortel tomat,Bolu kukus,1185.0,1
Pepes tahu,Sup nasi ayam,Tuna bumbu rica-rica,Kue apem,Kue bawang,1175.0,1
Laksa palembang,Tumis oncom,Tumis bandeng,Es kuwut,Martabak manis,1140.0,1
Perkedel kentang,Ayam penyet,Tuna sambal woku,Jus wortel tomat,Tahu walik,1049.0,1
Teri basah goreng renyah,Sate ayam,Bubur manado,Jus jambu,Dimsum,1074.0,1
Telur ceplok air acar kuning,Cumi goreng,Telur asin,Anggur ,Kue kacang,1039.5,1
Urap megono,Ayam bakar,Ayam geprek,Anggur ,Kue cucur,1014.0,1
Tumis genjer,Ayam bakar,Semur telur,Sari buah tropika,Cenil,1080.0,1
Coto makasar,Ayam woku,Nasi goreng sayur,Es kuwut,Dimsum,1015.2,1
Soto ayam,Ayam panggang,Ayam kecap ,Sari seledri campur,Jus alpukat ,1157.0,1
Nasi liwet,Spageti,Ikan gurame asam manis,Apel,Pie susu,1140.0,1
Soto bandung,Sup telur,Sop kambing,Nanas,Kue nagasari,1002.0,1
Tumis daun pepaya,Spageti,Orak arik bening soun,Susu murni,Dimsum,1009.5,1
Nasi goreng udang,Rendang,Kalio telur,Anggur ,Buah delima ,1196.0,1
Tumis buncis,Cumi hitam,Spageti udang,Sari seledri timun,Tahu isi,1117.5,1
Sayur umbut kelapa,Oseng tahu,Urab,Pisang bakar saus manis,Seblak,1012.5,1
Pepes ikan mas,Sate padang,Teri kacang balado,Es kuwut,Jus alpukat ,1036.0,1
Tumis daun pepaya,Tahu bacem,Salmon asap,Kue bugis,Jus jeruk,1128.0,1
Rawon,Bakso sapi,Semur telur,Es kuwut,Pempek kapal selam,1173.0,1
Tumis kacang panjang tempe,Sup telur,Bihun goreng,Cilok,Puding vanila,1098.5,1
Soto betawi ,Kari ayam ,Bihun goreng,Jus wortel tomat,Bakwan,1093.5,1
Kwetiau goreng,Ayam saus mentega,Makaroni bumbu merah,Pisang bakar saus manis,Sosis solo,1170.5,1
Udang panggang,Abon ayam,Urab,Durian,Martabak manis,1186.0,1
Soto daging ,Ceker mercon,Lobstre panggang,Lemang manis isi pisang,Jus alpukat ,1105.6,1
Soto banjar,Ikan tuna sambal goreng,Lobstre panggang,Sup buah tropika,Pempek ,1165.9,1
Soto betawi ,Ayam penyet,Lobstre panggang,Jus nanas,Buah delima ,1117.0,1
Kupat tahu,Sate ayam,Lodeh terong,Jus wortel tomat,Cireng isi ayam,1077.0,1
Ayam rica-rica,Mie bakso,Udang goreng tepung,Rujak pepaya alpukat,Onde-onde,1011.8,1
Ayam rica-rica,Ikan salmon panggang,Mie rebus tauge,Pisang ,Kacang mete sangrai asin,1049.3,1
Ikan mas goreng,Ayam penyet,Perkedel tahu,Es kuwut,Seblak,1106.0,1
Semur jengkol,Cumi hitam,Ikan belida bakar,Getuk kacang hijau,Cireng isi ayam,1105.0,1
Kwetiau udang sambal rujak,Ayam cincang buncis,Sate bandeng,Nanas,Lemper,1061.3,1
Tumis daun pepaya,Ikan belanak goreng,Kalio ayam,Kurma,serabi,1066.0,1
Ikan tongkol goreng,Tuna bumbu pepes,Ikan panggang,Cimol,Markisa,1098.0,1
Sayur umbut kelapa,Beef teriyaki,Jengkol balado,Rujak jeruk bali,Onde-onde,1007.7,1
Kwetiau goreng,Ikan lele panggang,Rendang,Pepaya,Cempedak,1078.0,1
Pepes tahu,Bakso aci,Sup kentang,Rujak jeruk bali,Kue pukis,1006.7,1
Nasi goreng ,Ikan mujair goreng,Sup kentang,Es kuwut,Nangka,1104.0,1
Telur ceplok,Pepes bandeng presto,Salmon asap,Sari seledri timun,Kue kacang,1060.4,1
Semur tahu,Gudeg,Ayam kalasan,Kurma,Dimsum,1181.4,1
Perkedel kentang,Sambal teri,Pempek kulit,Anggur ,Martabak manis,1163.0,1
Pepes tongkol,Tumis bayam,Udang goreng tepung,Pisang panggang saus kurma,Pempek ,1074.5,1
Nasi goreng ayam,Ikan mujair goreng,Sate bandeng,Kue apem,Es buah,1161.0,1
Laksa palembang,Chicken katsu,Spageti udang,Es kelapa muda,Kue nagasari,1148.5,1
Pecel sayur,Spageti,Tumis bandeng,Pepaya,Tahu gejrot,1062.0,1
Pepes tongkol,Sambal teri,Paru sapi goreng,Cimol,Bolu kukus,1031.0,1
Sayur asem,Onigiri,Telur asin,Stroberi,Lemper,1117.0,1
Nasi kebuli,Kari ayam ,Orak arik bening soun,Jus stroberi,Pastel ,1040.5,1
Semur ayam,Mie ayam,Gadon tahu jamur,Rujak jeruk bali,Pastel ,1002.6,1
Urap,Dendeng sapi,Ampela goreng ,Manggis,Sosis solo,1037.0,1
Nasi goreng udang,Ikan patin bakar,Tumis kapri manis,Durian,Cireng isi ayam,1104.5,1
Pecel sayur,Ikan patin bakar,Ampela goreng ,Klepon,Yogurt,1072.0,1
Ketoprak ,Ayam penyet,Sandwich ikan tuna panggang,Pepaya,Seblak,1102.2,1
Tumis genjer,Ayam cincang buncis,Semur telur,Pisang bakar saus manis,Pie susu,1057.5,1
Sayur pakis,Udang goreng ,Pepes teri,Cimol,Bolu kukus,1188.0,1
Kacang panjang bumbu kuning,Ikan tuna sambal goreng,Lobstre panggang,Es teler,Sari apel,1157.5,1
Gulai pakis,Tempe penyet,Telur asin,Kue bugis isi kacang hijau,Bluberi,1085.0,1
Chicken karage,Telur puyuh bumbu kuning,Ayam kalasan,Salak,Tahu gejrot,1170.5,1
Tumis kangkung,Oseng tahu,Opor ayam,Rambutan,Yogurt,1038.0,1
Tumis sawi putih,Sate ayam,Bubur manado,Cimol,Martabak telur,1133.0,1
Kacang panjang bumbu kuning,Ikan tongkol balado,Ayam kecap ,Rujak jeruk bali,Susu kedelai,1053.2,1
Tumis labu siam,Ikan patin bakar,Sup bola ayam,Anggur ,Bluberi,1058.0,1
Nasi kuning,Tahu bacem,Gulai kambing,Rujak pepaya alpukat,Sukun goreng,1116.8,1
Bubur nasi,Kari ayam ,Bubur manado,Jus pepaya kayu manis,Wajik ,1137.3,1
Kwetiau udang sambal rujak,Iga bakar,Daging sapi panggang,Susu,Dimsum,1056.3,1
Tumis buncis,Cumi goreng,Ikan cakalang asap,Puding coklat,Kue cucur,1018.0,1
Udang panggang,Bebek bakar,Gulai ikan ,Kue apem,Markisa,1002.0,1
Kwetiau goreng,Tahu cabe garam,Tuna bumbu rica-rica,Rujak jeruk bali,Kue pukis,1045.7,1
Coto makasar,Sayur tahu toge,Teri balado,Jambu biji ,Kue nastar,1073.0,1
Kwetiau goreng,Cumi hitam,Gulai ayam,Buah naga,Semangka,1181.0,1
Semur tahu,Ikan lele panggang,Sayur bobor,Lemang manis isi pisang,Markisa,1045.6,1
Kwetiau udang sambal rujak,Nasi rames,Sup bola ayam,Batagor,Mangga kweni,1048.3,1
Gado-gado,Iga bakar,Kalio telur,Jus melon,Martabak telur,1089.0,1
Paha ayam panggang,Cumi goreng,Ikan baung bakar,Es kuwut,Tahu sumedang,1179.0,1
Udang panggang,Bakmi,Tumis ikan tongkol,Kue bugis isi kacang hijau,Wajik ,1008.0,1
Tempe masak wijen,Cumi goreng,Semur daging,Dadar gulung,Kacang mete sangrai asin,1084.2,1
Urap megono,Mie ayam,Pempek kulit,Kue tapioka,Cireng isi ayam,1130.6,1
Ketoprak ,Nasi hijau harum,Pempek kulit,Rujak jeruk bali,Kue bawang,1101.7,1
Soto betawi ,Abon ayam,Ikan panggang,Getuk kacang hijau,Wajik ,1119.0,1
Pepes tongkol,Ikan patin bakar,Kalio telur,Jus pepaya belimbing,Onde-onde,1111.1,1
Nasi goreng spesial,Sambal goreng kentang,Tumis bandeng,Getuk kacang hijau,Tape singkong,1157.0,1
Sayur bening bayam,Pepes bandeng presto,Oseng buncis tempe,Susu murni,Kue nastar,1116.4,1
Soto ayam,Chicken katsu,Tempe mendoan,Getuk kacang hijau,Kue kacang,1158.0,1
Ayam suwir kemangi,Ayam goreng ,Tuna bumbu rica-rica,Susu,Es krim,1085.0,1
Tumis labu siam,Ayam lada hitam,Ayam kecap ,Pisang panggang saus kurma,Kue cucur,1118.5,1
Soto kudus,Dendeng sapi,Ayam taliwang,Kue tapioka,Es krim,1070.6,1
Coto makasar,Mie ayam,Semur daging,Durian,Onde-onde,1002.0,1
Tumis kacang panjang tempe,Bubur sapi,Tempe mendoan,Susu murni,Pempek kapal selam,1109.0,1
Gulai tunjang,Ayam lada hitam,Udang goreng tepung,Pisang panggang saus kurma,Pempek kapal selam,1153.5,1
Tumis kacang panjang tempe,Ikan belanak goreng,Pempek kulit,Mentimun serut,Tape singkong,1085.1,1
Chicken nugget,Bubur sapi,Kerang asap,Putu mayang,Sawo,1125.0,1
Nasi kebuli,Tekwan,Lobstre panggang,Jus apel,Tahu walik,1133.0,1
Kwetiau udang sambal rujak,Oseng tahu,Sop kambing,Es teler,Pempek ,1092.3,1
Telur ceplok,Pempek adaan,Paru sapi goreng,Pisang bakar saus manis,Martabak manis,1198.5,1
Pecel sayur,Ayam saus mentega,Pepes teri,Jus apel,Pie susu,1146.0,1
Pecel sayur,Ikan salmon panggang,Mie hokian,Kue bugis,Pie susu,1121.8,1
Telur rebus,Bubur sapi,Lobstre panggang,Mentimun serut,Markisa,1123.1,1
Nasi goreng ayam,Steak daging sapi,Sambal udang,Sari seledri timun,Tahu isi,1041.0,1
Belut goreng,Beef burger,Lumpia basah,Salak,Kue kacang,1036.1,1
Pepes ayam,Chicken katsu,Tempe kukus cabe hijau,Rujak pepaya alpukat,Bolu kukus,1073.3,1
Tumis kangkung,Iga bakar,Tumis bandeng,Es teler,Sukun goreng,1127.0,1
Tumis kacang panjang tempe,Beef teriyaki,Ikan gabus asap,Sari buah tropika,Es buah,1020.0,1
Ikan kembung balado,Sambal teri,Tuna sambal woku,Sari seledri campur,Martabak manis,1086.0,1
Telur ceplok air acar kuning,Udang goreng ,Gulai ayam,Susu murni,Tahu walik,1182.5,1
Sayur pakis,Spageti,Salmon asap,Kue bugis,Kue bawang,1145.0,1
Nasi uduk,Garang asem ayam,Ayam taliwang,Pisang panggang saus kurma,Bakwan,1017.5,1
Telur rebus,Sup ayam,Sop kaki sapi,Durian,Kue pukis,1132.0,1
Ketoprak ,Rendang,Tuna bumbu rica-rica,Jus pepaya belimbing,Yogurt,1002.1,1
Ikan kembung balado,Sate kambing,Gulai ikan ,Kue tapioka,Martabak manis,1059.6,1
Bubur ayam,Chicken katsu,Ikan cakalang asap,Salak,Buah delima ,1105.0,1
Pecel sayur,Mie ayam,Kerang asap,Sari seledri timun,Bolu pisang,1072.0,1
Ikan bawal goreng,Tempe penyet,Sop buntut,Cimol,Kue kacang,1133.0,1
Chicken nugget,Cap cay sayur,Sayur rica rodoh,Jeruk,Bakwan,1147.8,1
Udang panggang,Ayam panggang,Brengkes patin,Jus pepaya kayu manis,Puding vanila,1100.3,1
Tumis genjer,Gudeg,Sate bandeng,Kue bolu,Cempedak,1142.0,1
Paha ayam panggang,Bakmi,Opor ayam,Pisang ,Pempek kapal selam,1176.0,1
Nasi kuning,Karedok,Tumis ikan tongkol,Susu murni,Kue pukis,1152.0,1
Nasi goreng udang,Ikan tuna panggang,Kangkung bumbu kare,Sup buah serut,Kue nagasari,1025.6,1
Tuna bakar bumbu bali,Ikan tuna sambal goreng,Lobstre panggang,Stroberi,Es krim,1030.2,1
Pindang patin,Sate padang,Ikan gurame asam manis,Kue bugis,Markisa,1035.0,1
Ikan kembung balado,Beef burger,Gulai ayam,Kue bugis isi kacang hijau,Jus alpukat ,1082.0,1
Ikan kembung balado,Beef teriyaki,Tuna bumbu rica-rica,Jeruk,Sosis solo,1137.0,1
Pecel sayur,Chicken katsu,Tahu bumbu kukus,Kelengkeng,Kue nastar,1167.9,1
Usus ayam goreng,Beef burger,Sayur rica rodoh,Cimol,Apel fuji,1176.8,1
Kwetiau goreng,Asem-asem kangkung,Gulai ikan ,Pisang panggang saus kurma,Kue sus,1050.5,1
Gulai tunjang,Ayam rendang,Tempe mendoan,Melon,Bolu pisang,1002.0,1
Pecel sayur,Ikan tongkol balado,Bubur manado,Sari seledri timun,Risol bihun ,1166.0,1
Soto betawi ,Udang goreng ,Gulai daging sapi,Mentimun serut,Mangga kweni,1134.1,1
Telur dadar,Ikan lele panggang,Semur daging,Jus jambu,Tahu walik,1003.0,1
Ayam goreng,Ayam panggang,Ikan cakalang asap,Kue tapioka,Puding vanila,1070.6,1
Tumis buncis,Tahu cabe garam,Salmon asap,Pir,serabi,1185.0,1
Coto makasar,Ayam panggang,Tumis bandeng,Jus mentimun jambu,Puding vanila,1127.5,1
Paha ayam panggang,Ayam bakar,Hati ayam goreng,Melon,Sosis solo,1004.0,1
Telur balado,Ikan tuna sambal goreng,Urab,Kue bugis isi kacang hijau,Seblak,1003.0,1
Soto daging ,Kerang panggang,Tumis bandeng,Jeruk,Bakwan,1159.0,1
Tempe masak wijen,Ayam penyet,Oseng buncis tempe,Jus melon,Es buah,1102.2,1
Nasi goreng tuna,Tumis pepaya muda,Lobstre panggang,Puding coklat,Kue kacang,1064.7,1
Tumis genjer,Pempek adaan,Paru sapi goreng,Klepon,Pempek ,1197.0,1
Soto ayam,Ayam saus mentega,Jengkol balado,Cilok,Bubur sumsum,1148.0,1
Nasi kebuli,Ikan mujair goreng,Lobstre panggang,Sup buah serut,Sukun goreng,1025.3,1
Dendeng sapi,Ikan patin goreng,Semur daging,Durian,Pastel ,1036.0,1
Ketoprak ,Ayam masak merah,Nasi goreng sayur,Kue bugis,Martabak manis,1036.2,1
