nama_makanan,kategori,natrium_(mg)
Telur orak-arik,makan_pagi,211
Bubur kacang hijau,makan_pagi,46
Ayam betutu,makan_siang,251
Sate padang,makan_siang,347
Ayam masak merah,makan_siang,282
Ikan kuah kuning,makan_siang,162
Tumis bayam,makan_siang,408
Sup ayam,makan_siang,459
Nasi hijau harum,makan_siang,78
Tempe orek,makan_siang,209
Tempe penyet,makan_siang,241
Udang asam manis,makan_siang,1275
Bening bayam tauge,makan_siang,12.3
Udang goreng ,makan_siang,707
Pepes bandeng presto,makan_siang,20.4
Cumi goreng,makan_siang,335
Ikan panggang siram acar,makan_siang,28.7
Ayam lada hitam,makan_siang,220
Dendeng sapi,makan_siang,443
Ayam goreng ,makan_siang,350
Abon sapi,makan_siang,810
Bihun goreng,makan_siang,322
Tumis oncom,makan_siang,262
Ikan tuna panggang,makan_siang,366
Bakso ikan,makan_siang,255
Ikan mujair goreng,makan_siang,194
Ikan belanak goreng,makan_siang,220
Ikan patin goreng,makan_siang,61
Ikan patin bakar,makan_siang,372
Ikan tongkol balado,makan_siang,352
Kari ayam ,makan_siang,624
Ayam teriyaki,makan_siang,1053
Bubur sapi,makan_siang,320
Garang asem ayam,makan_siang,213
Ayam panggang,makan_siang,405
Ayam woku,makan_siang,183
Ayam bakar,makan_siang,409
Ayam cincang buncis,makan_siang,241
Sate usus,makan_siang,505
Ayam rendang,makan_siang,274
Sayur tahu toge,makan_siang,256
Sate ayam,makan_siang,355
Telur puyuh bumbu kuning,makan_siang,73.1
Abon ayam,makan_siang,410
Ayam penyet,makan_siang,288
Sate taichan,makan_siang,510
Ayam saus mentega,makan_siang,560
Ceker mercon,makan_siang,302
Asem-asem kangkung,makan_siang,32
Sate kambing,makan_siang,359
Rendang,makan_siang,184
Tumis buncis wortel bintik,makan_siang,26
Kari daging sapi,makan_siang,551
Steak daging sapi,makan_siang,373
Babat sapi,makan_siang,68
Bakso sapi,makan_siang,290
Iga bakar,makan_siang,272
Sup telur,makan_siang,355
Ikan tuna sambal goreng,makan_siang,360
Tuna bumbu kari,makan_siang,400
Tuna bumbu pepes,makan_siang,280
Mie ayam,makan_siang,279
Gudeg,makan_siang,147
Mie bakso,makan_siang,193
Bakso ayam,makan_siang,442
Kepiting panggang,makan_siang,539
Tekwan,makan_siang,186
Spageti,makan_siang,232
Pecel lele,makan_siang,48
Bebek bakar,makan_siang,193
Ikan lele panggang,makan_siang,385
Terong bakar,makan_siang,2
Ikan salmon panggang,makan_siang,467
Chicken katsu,makan_siang,680
Sambal teri,makan_siang,150
Sambal goreng kentang,makan_siang,114
Bakmi,makan_siang,329
Tumis pepaya muda,makan_siang,125
Kerang panggang,makan_siang,527
Oseng tahu,makan_siang,405
Tahu bacem,makan_siang,69
Tahu cabe garam,makan_siang,40
Bakso aci,makan_siang,214
Cumi hitam,makan_siang,471
Onigiri,makan_siang,140
Nasi rames,makan_siang,265
Cap cay sayur,makan_siang,405
Sayur bunga pepaya,makan_siang,90
Beef burger,makan_siang,572
Beef teriyaki,makan_siang,377
Karedok,makan_siang,127
Pempek adaan,makan_siang,487
Sup nasi ayam,makan_siang,339
Kalio ayam,makan_malam,534
Hati ayam goreng,makan_malam,92
Kalio kikil,makan_malam,519
Pempek kulit,makan_malam,557
Sop kaki sapi,makan_malam,435
Sop kambing,makan_malam,384
Ikan baung bakar,makan_malam,168
Ikan belida bakar,makan_malam,293
Lobstre panggang,makan_malam,630
Ikan cakalang asap,makan_malam,176
Ikan gabus asap,makan_malam,320
Ikan mujair pepes,makan_malam,58
Kerang asap,makan_malam,160
Saboko gurita,makan_malam,200
Tumis bandeng,makan_malam,314
Telur asin,makan_malam,483
Kalio telur,makan_malam,540
Semur telur,makan_malam,417
Terong balado,makan_malam,262
Lodeh terong,makan_malam,197
Ampela goreng ,makan_malam,255
Lobstre panggang,makan_malam,630
Tuna bumbu rica-rica,makan_malam,400
Salmon asap,makan_malam,784
Jengkol balado,makan_malam,225
Tuna sambal woku,makan_malam,390
Daun singkong bumbu iris,makan_malam,3
Teri kacang balado,makan_malam,406
Pepes teri,makan_malam,67
Paru sapi goreng,makan_malam,356
Tempe goreng tepung,makan_malam,76
Bihun goreng,makan_malam,92.5
Gulai ayam,makan_malam,207
Sandwich ikan tuna panggang,makan_malam,153.2
Ikan bakar bumbu kecap,makan_malam,99.5
Urab,makan_malam,12
Lumpia basah,makan_malam,40.1
Tumis kapri manis,makan_malam,1.5
Sup bola ayam,makan_malam,538
Nasi goreng sayur,makan_malam,52.2
Tempe kukus cabe hijau,makan_malam,7.5
Sayur rica rodoh,makan_malam,2.8
Mie hokian,makan_malam,77.8
Tumis tahu kentang seledri,makan_malam,6
Sayur bobor,makan_malam,60
Nasi goreng kunyit,makan_malam,35
Tumis ikan tongkol,makan_malam,19
Tahu bumbu kukus,makan_malam,19.9
Kangkung bumbu kare,makan_malam,29.3
Orak arik bening soun,makan_malam,89.5
Makaroni bumbu merah,makan_malam,18
Oseng tahu tomat,makan_malam,5.9
Gulai kambing,makan_malam,163
Ikan gurame asam manis,makan_malam,509
Mie rebus tauge,makan_malam,35.3
Teri balado,makan_malam,422
Gulai daging sapi,makan_malam,225
Ikan bandeng goreng,makan_malam,215
Tahu bumbu merah,makan_malam,5.3
Udang goreng tepung,makan_malam,487
Sop buntut,makan_malam,478
Ayam geprek,makan_malam,460
Ayam taliwang,makan_malam,432
Opor ayam,makan_malam,219
Oseng buncis tempe,makan_malam,772
Ayam kecap ,makan_malam,628
Spageti udang,makan_malam,90.5
Sayur siram bumbu tumis,makan_malam,14.1
Pepes tongkol sambal dabu-dabu,makan_malam,26.8
Semur daging,makan_malam,370
Bandeng presto,makan_malam,270
Ayam kalasan,makan_malam,28.4
Brengkes patin,makan_malam,43
Tempe pesmol,makan_malam,3.5
Ikan panggang,makan_malam,356
Gadon tahu jamur,makan_malam,18.9
Ayam panggang bumbu bacem,makan_malam,26.7
Sambal udang,makan_malam,73
Tempe mendoan,makan_malam,233
Tahu siksa,makan_malam,10.8
Gulai ikan ,makan_malam,169
Rendang,makan_malam,184
Sate bandeng,makan_malam,543
Daging sapi panggang,makan_malam,217
Pecel ,makan_malam,23
Kari daging domba,makan_malam,210
Terong goreng,makan_malam,62
Sayur nangka,makan_malam,4
Tahu telur,makan_malam,734
Perkedel tahu,makan_malam,389
Bubur manado,makan_malam,242
Sup kentang,makan_malam,418
Sup buah tropika,snack_1,36.9
Kue bugis isi kacang hijau,snack_1,8
Jus pepaya kayu manis,snack_1,5.3
Pisang bakar saus manis,snack_1,11.5
Sari buah tropika,snack_1,6
Asinan bengkuang nanas,snack_1,5.6
Sup buah serut,snack_1,33.3
Lemang manis isi pisang,snack_1,3.6
Sari seledri timun,snack_1,23
Mentimun serut,snack_1,6.1
Getuk kacang hijau,snack_1,19
Jus pepaya belimbing,snack_1,7.1
Rujak jeruk bali,snack_1,8.7
Talam nangka,snack_1,4.3
Sari seledri campur,snack_1,19
Pisang panggang saus kurma,snack_1,10.5
Talam ubi,snack_1,9.3
Jus belimbing berembun,snack_1,3.6
Kue tapioka,snack_1,4.6
Rujak pepaya alpukat,snack_1,13.8
Jus mentimun jambu,snack_1,2.5
Pepaya,snack_1,3
Melon,snack_1,16
Buah naga,snack_1,2
Nanas,snack_1,1
Pisang ,snack_1,1
Apel,snack_1,1
Pir,snack_1,1
Salad buah,snack_1,5
Jeruk,snack_1,2
Mangga,snack_1,2
Anggur ,snack_1,2
Rujak buah,snack_1,69
Jambu biji ,snack_1,2
Stroberi,snack_1,1
Salak,snack_1,2
Rambutan,snack_1,10
Manggis,snack_1,7
Kurma,snack_1,2
Kelengkeng,snack_1,0
Durian,snack_1,2
Jus stroberi,snack_1,1
Jus wortel tomat,snack_1,19
Jus Buah naga,snack_1,7
Jus mangga,snack_1,2
Jus jambu,snack_1,2
Jus apel,snack_1,3
Jus melon,snack_1,16
Jus nanas,snack_1,2
Batagor,snack_1,152
Klepon,snack_1,79
Puding coklat,snack_1,129
Susu,snack_1,41
Susu murni,snack_1,40
Kue bugis,snack_1,61
Kue bolu,snack_1,228
Kue apem,snack_1,100
Es kuwut,snack_1,74
Es teler,snack_1,155
Es kelapa muda,snack_1,8
Cilok,snack_1,221
Cimol,snack_1,190
Putu mayang,snack_1,59
Dadar gulung,snack_1,67
Pastel ,snack_2,160
Kue bawang,snack_2,67
Kue nastar,snack_2,122
Risol bihun ,snack_2,203
serabi,snack_2,97
Tape singkong,snack_2,7
Susu kedelai,snack_2,55
Cenil,snack_2,30
Duku,snack_2,1
Lemper,snack_2,185
Kue pancong,snack_2,52
Jus alpukat ,snack_2,18
Es doger,snack_2,124
Bakpia,snack_2,118
Pempek kapal selam,snack_2,221
Pempek ,snack_2,57
Cireng isi ayam,snack_2,262
Seblak,snack_2,267
Dimsum,snack_2,435
Semangka,snack_2,1
Jus semangka,snack_2,1
Kue cucur,snack_2,115
Bubur sumsum,snack_2,55
Tahu isi,snack_2,270
Sawo,snack_2,12
Pie susu,snack_2,170
Markisa,snack_2,28
Pisang,snack_2,1
Onde-onde,snack_2,80
Yogurt,snack_2,20
Kue nagasari,snack_2,130
Jus wortel ,snack_2,29
Bolu kukus,snack_2,223
Bolu pisang,snack_2,264
Es buah,snack_2,22
Es krim,snack_2,20
Puding vanila,snack_2,135
Kue pukis,snack_2,97
Kue sus,snack_2,339
Bakwan,snack_2,164
Sosis solo,snack_2,81
Takoyaki,snack_2,267
Mangga kweni,snack_2,2
Ronde,snack_2,6
Kue beras,snack_2,9
Kue kacang,snack_2,139
Sup kacang,snack_2,363
Kacang mete sangrai asin,snack_2,308
Buah delima ,snack_2,3
Tahu walik,snack_2,148
Tahu gejrot,snack_2,167
Sale pisang,snack_2,61
Tahu sumedang,snack_2,196
Martabak telur,snack_2,135
Martabak manis,snack_2,250
Wajik ,snack_2,140
Sukun goreng,snack_2,2
Sari apel,snack_2,3
Bluberi,snack_2,1
Jus jeruk,snack_2,1
Nangka,snack_2,3
Cempedak,snack_2,6
Apel fuji,snack_2,1
