Id_kombinasi,Makan_pagi,Makan_siang,Makan_malam,Snack_1,Snack_2,Total_natrium
44,Urap,Ayam goreng ,Tahu siksa,Kurma,Kue nagasari,743.8
45,Sayur bening bayam,Sup nasi ayam,Ampela goreng ,Pir,Es krim,777.0
46,Nasi goreng tuna,Sup ayam,Ikan bakar bumbu kecap,Manggis,Jus semangka,608.2
47,Rawon,Ayam lada hitam,Ikan baung bakar,Nanas,Semangka,561.0
48,Tempe goreng,Ikan panggang siram acar,Gulai kambing,Kue bugis,Tahu gejrot,696.7
49,Nasi goreng ,Telur puyuh bumbu kuning,Ikan cakalang asap,Jus mentimun jambu,Cempedak,672.6
50,Ayam suwir kemangi,Sayur bunga pepaya,Tumis kapri manis,Asinan bengkuang nanas,Bolu pisang,635.1
51,Laksa palembang,Ayam rendang,Udang goreng tepung,Rujak jeruk bali,Nangka,1012.7
52,Nasi goreng tuna,Ayam rendang,Orak arik bening soun,Putu mayang,Jus wortel ,493.2
53,Sayur pakis,Ayam goreng ,Ikan gabus asap,Buah naga,Duku,674.0
54,Tumis genjer,Bening bayam tauge,Rendang,Durian,Seblak,683.3
55,Chicken karage,Pepes bandeng presto,Urab,Talam nangka,Puding vanila,1071.6999999999998
56,Ayam rica-rica,Nasi rames,Ikan belida bakar,Jeruk,Buah delima ,801.0
57,Tumis pakcoy,Ayam masak merah,Pecel ,Durian,Jus semangka,528.0
58,Nasi goreng spesial,Garang asem ayam,Ayam kalasan,Jus wortel tomat,Jus jeruk,964.4
59,Paha ayam panggang,Spageti,Tahu siksa,Kue bugis,Kacang mete sangrai asin,1017.8
60,Tumis labu siam,Ayam penyet,Ikan bakar bumbu kecap,Sari seledri campur,Sukun goreng,553.5
61,Ayam suwir,Beef teriyaki,Terong goreng,Jus Buah naga,Tahu isi,778.0
62,Soto banjar,Abon sapi,Bandeng presto,Sup buah tropika,Kue pukis,1295.9
63,Tumis pare,Cumi hitam,Tumis tahu kentang seledri,Pir,Es buah,625.0
64,Urap megono,Sup ayam,Ayam geprek,Batagor,Pie susu,1269.0
65,Telur rebus,Sup nasi ayam,Ayam panggang bumbu bacem,Pir,Pempek ,562.7
66,Pepes ikan mas,Mie bakso,Saboko gurita,Jus apel,Nangka,590.0
67,Ikan tongkol goreng,Ayam betutu,Brengkes patin,Cilok,Roti isi coklat,884.0
68,Kwetiau udang sambal rujak,Babat sapi,Sop kambing,Sari seledri timun,Martabak manis,816.3
69,Chicken karage,Nasi hijau harum,Brengkes patin,Pepaya,Kue pukis,1121.0
70,Belut goreng,Ayam bakar,Tuna bumbu rica-rica,Jus apel,Bubur sumsum,1150.0
71,Nasi uduk,Mie bakso,Kalio ayam,Kue apem,Sup kacang,1388.0
72,Teri basah goreng renyah,Mie bakso,Sop kambing,Puding coklat,Tahu sumedang,942.0
73,Bubur ayam,Spageti,Ikan belida bakar,Kurma,Sari apel,774.0
74,Kering tempe,Ikan mujair goreng,Tempe mendoan,Susu,Jus jeruk,690.0
75,Ayam rica-rica,Babat sapi,Ikan belida bakar,Sup buah serut,Jus jeruk,633.3
76,Tempe bacem,Chicken katsu,Opor ayam,Jus stroberi,Bubur sumsum,1023.0
77,Nasi liwet,Kepiting panggang,Teri balado,Jus belimbing berembun,Cempedak,1198.6
78,Nasi ciprat,Ikan mujair goreng,Terong goreng,Talam nangka,Wajik ,410.5
79,Paha ayam panggang,Pempek adaan,Tahu telur,Jus melon,Sosis solo,1724.0
80,Telur ceplok air acar kuning,Bening bayam tauge,Ayam kalasan,Talam ubi,Sosis solo,211.5
81,Tempe panggang,Tumis buncis wortel bintik,Tuna bumbu rica-rica,Sari seledri timun,Onde-onde,560.0
82,Tumis genjer,Ayam rendang,Pepes teri,Getuk kacang hijau,Dimsum,1013.0
83,Bubur ketan hitam,Udang asam manis,Tahu bumbu merah,Batagor,Sosis solo,1590.3
84,Gulai tunjang,Onigiri,Tuna bumbu rica-rica,Asinan bengkuang nanas,Tahu walik,908.6
85,Ikan mas goreng,Nasi hijau harum,Tahu telur,Pir,Es buah,923.0
86,Nasi pecel,Sambal goreng kentang,Ikan panggang,Puding coklat,Pisang,608.0
87,Urap megono,Kepiting panggang,Kari daging domba,Jus mentimun jambu,Kacang mete sangrai asin,1087.5
88,Soto kudus,Rendang,Tahu telur,Pisang panggang saus kurma,Onde-onde,1179.5
89,Paha ayam panggang,Chicken katsu,Ampela goreng ,Jus wortel tomat,Martabak telur,1495.0
90,Coto makasar,Pepes bandeng presto,Mie hokian,Kue tapioka,Martabak telur,508.8
91,Pindang patin,Cumi goreng,Ayam kalasan,Jus jambu,Kue sus,794.4
92,Nasi uduk,Tuna bumbu kari,Perkedel tahu,Es kelapa muda,Kue kacang,1134.0
93,Bubur kacang hijau,Ayam masak merah,Tumis bandeng,Jambu biji ,Tahu isi,914.0
94,Telur balado,Garang asem ayam,Tumis kapri manis,Susu murni,Kue kacang,749.5
95,Dendeng sapi,Nasi hijau harum,Bubur manado,Sup buah tropika,Yogurt,819.9
96,Nasi kebuli,Rendang,Bubur manado,Mentimun serut,Semangka,599.1
97,Udang panggang,Iga bakar,Sayur rica rodoh,Mangga,Jus semangka,789.8
98,Ketoprak ,Bakso sapi,Rendang,Jus apel,Tahu gejrot,1035.0
99,Tempe goreng,Nasi hijau harum,Kalio kikil,Es kelapa muda,Yogurt,902.0
100,Tumis sawi putih,Ikan tuna sambal goreng,Ikan baung bakar,Sari seledri campur,Mangga kweni,760.0
101,Soto banjar,Pepes bandeng presto,Brengkes patin,Durian,Pisang,148.4
102,Kacang panjang bumbu kuning,Sate kambing,Tempe pesmol,Jus jambu,Bolu pisang,638.0
103,Semur jengkol,Karedok,Kalio telur,Sup buah tropika,Es krim,783.9
104,Ayam goreng,Cumi goreng,Terong goreng,Kue bugis isi kacang hijau,Jus jeruk,756.0
105,Nasi goreng udang,Pepes bandeng presto,Ayam taliwang,Jus mentimun jambu,Apel fuji,922.9
106,Semur tahu,Tekwan,Kalio kikil,Puding coklat,Kacang mete sangrai asin,1711.0
107,Ayam rica-rica,Ikan panggang siram acar,Ikan mujair pepes,Jus stroberi,Ronde,331.7
108,Telur ceplok air acar kuning,Garang asem ayam,Lumpia basah,Sari seledri timun,Martabak telur,491.6
109,Tempe goreng,Ayam betutu,Ikan mujair pepes,Jus nanas,Bluberi,589.0
110,Bubur ayam,Sate ayam,Sayur nangka,Jus belimbing berembun,Semangka,607.6
111,Soto ayam,Oseng tahu,Oseng tahu tomat,Apel,Tape singkong,505.9
112,Paha ayam panggang,Terong bakar,Mie hokian,Pisang bakar saus manis,Pastel ,657.3
113,Telur rebus,Bakmi,Tempe kukus cabe hijau,Talam ubi,Jus alpukat ,502.8
114,Telur ceplok air acar kuning,Udang asam manis,Lobstre panggang,Durian,serabi,2084.5
115,Bubur ayam,Oseng tahu,Tumis tahu kentang seledri,Stroberi,Kue sus,995.0
116,Tumis genjer,Ceker mercon,Bubur manado,Rujak pepaya alpukat,Dimsum,1210.8
117,Gado-gado,Sate padang,Ayam panggang bumbu bacem,Rujak jeruk bali,Jus semangka,509.4
118,Tuna bakar bumbu bali,Ikan belanak goreng,Sandwich ikan tuna panggang,Manggis,Takoyaki,666.4
119,Tumis buncis,Tekwan,Semur daging,Susu murni,Wajik ,999.0
120,Nasi bakar,Sambal teri,Sop kambing,Pir,Sari apel,707.0
121,Soto betawi ,Ayam panggang,Gadon tahu jamur,Jus Buah naga,Sukun goreng,626.9
122,Telur orak-arik,Abon sapi,Daging sapi panggang,Batagor,Duku,1391.0
123,Gulai pakis,Tumis pepaya muda,Ayam panggang bumbu bacem,Nanas,Kue beras,513.7
124,Ikan kembung balado,Cumi hitam,Orak arik bening soun,Putu mayang,serabi,993.5
125,Nasi goreng ,Onigiri,Sop kaki sapi,Sari buah tropika,Ronde,1002.0
126,Gado-gado,Garang asem ayam,Telur asin,Susu,Jus alpukat ,881.0
127,Kwetiau goreng,Bubur sapi,Saboko gurita,Jus mentimun jambu,Kue pancong,1074.5
128,Soto kudus,Oseng tahu,Paru sapi goreng,Jus pepaya kayu manis,Yogurt,957.3
129,Perkedel kentang,Bakmi,Pepes teri,Sup buah serut,Bubur sumsum,688.3
130,Gulai pakis,Pecel lele,Kari daging domba,Jus Buah naga,Es buah,639.0
131,Tumis sawi putih,Ikan belanak goreng,Spageti udang,Jus wortel tomat,Sukun goreng,542.5
132,Nasi kuning,Bening bayam tauge,Oseng tahu tomat,Pisang ,Mangga kweni,890.1999999999999
133,Tumis sawi putih,Tuna bumbu kari,Tumis tahu kentang seledri,Kue bugis,Bluberi,679.0
134,Telur rebus,Sate kambing,Telur asin,Jus Buah naga,Sup kacang,1351.0
135,Nasi goreng spesial,Mie ayam,Saboko gurita,Jus mentimun jambu,Kue sus,1523.5
136,Soto ayam,Ayam masak merah,Perkedel tahu,Salad buah,Kue beras,772.0
137,Ikan mas goreng,Ayam woku,Nasi goreng sayur,Sari buah tropika,Cenil,359.2
138,Sayur bening bayam,Garang asem ayam,Kerang asap,Cilok,Ronde,762.0
139,Kacang panjang bumbu kuning,Ayam betutu,Bandeng presto,Rujak pepaya alpukat,Pisang,545.3
140,Pepes tongkol,Dendeng sapi,Sandwich ikan tuna panggang,Jus wortel tomat,Pempek kapal selam,948.2
141,Paha ayam panggang,Sate taichan,Kerang asap,Mangga,Es krim,1098.0
142,Nasi goreng ,Ayam rendang,Ampela goreng ,Jus stroberi,Es buah,967.0
143,Tumis kol,Ikan patin goreng,Tahu bumbu merah,Es teler,Seblak,602.3
144,Bubur nasi,Sate usus,Brengkes patin,Putu mayang,Tahu isi,1003.0
145,Soto kudus,Sate usus,Tahu bumbu kukus,Pisang bakar saus manis,Cenil,737.4
146,Semur tahu,Tekwan,Tempe goreng tepung,Puding coklat,Es doger,1084.0
147,Soto kudus,Ayam teriyaki,Tempe mendoan,Jus pepaya kayu manis,Semangka,1463.3
148,Pepes ikan mas,Ayam saus mentega,Tempe pesmol,Klepon,Tahu sumedang,1029.5
149,Paha ayam panggang,Ayam masak merah,Tumis tahu kentang seledri,Es teler,Buah delima ,852.0
150,Gado-gado,Garang asem ayam,Semur telur,Kue bugis,Kue cucur,932.0
151,Tumis daun pepaya,Abon ayam,Ayam kecap ,Rujak jeruk bali,Kue nagasari,1389.7
152,Telur dadar,Ikan tuna panggang,Nasi goreng sayur,Sari buah tropika,Es buah,544.2
153,Soto bandung,Bebek bakar,Kalio telur,Rujak buah,Martabak telur,1069.0
154,Telur balado,Sate kambing,Tahu siksa,Batagor,Kacang mete sangrai asin,1185.8
155,Sayur umbut kelapa,Ceker mercon,Sambal udang,Rujak jeruk bali,Tahu sumedang,896.7
156,Kwetiau udang sambal rujak,Ikan tongkol balado,Sup kentang,Rujak pepaya alpukat,Pempek kapal selam,1096.1
157,Nasi goreng udang,Sate taichan,Kalio telur,Stroberi,Sup kacang,1881.0
158,Udang panggang,Ikan salmon panggang,Tempe pesmol,Pisang bakar saus manis,Bluberi,995.0
159,Ketoprak ,Bakso ikan,Ikan belida bakar,Asinan bengkuang nanas,Markisa,972.6
160,Kwetiau goreng,Tuna bumbu pepes,Teri kacang balado,Kue bolu,Sari apel,1417.0
161,Udang panggang,Tuna bumbu pepes,Ampela goreng ,Stroberi,Kacang mete sangrai asin,1356.0
162,Ikan bawal goreng,Bebek bakar,Saboko gurita,Pisang panggang saus kurma,Onde-onde,568.5
163,Tempe goreng,Pempek adaan,Bubur manado,Nanas,Cireng isi ayam,1269.0
164,Belut goreng,Bakso ikan,Ikan belida bakar,Es kuwut,Kue pancong,957.0
165,Ayam suwir kemangi,Pempek adaan,Gulai ikan ,Durian,Tape singkong,939.0
166,Kacang panjang bumbu kuning,Steak daging sapi,Ikan cakalang asap,Jus pepaya belimbing,Semangka,566.6
167,Soto kudus,Ayam saus mentega,Lodeh terong,Jus pepaya kayu manis,Puding vanila,1068.3
168,Chicken nugget,Ikan tongkol balado,Tahu telur,Cilok,Dimsum,2316.0
169,Telur balado,Ikan panggang siram acar,Pecel ,Rujak buah,Lemper,661.7
170,Tumis kacang panjang tempe,Onigiri,Nasi goreng sayur,Jus mentimun jambu,Sale pisang,550.7
171,Bubur ayam,Garang asem ayam,Pepes teri,Jus nanas,Kue nastar,648.0
172,Kacang panjang bumbu kuning,Abon ayam,Gulai ayam,Talam nangka,Dimsum,1065.8
173,Nasi bakar,Bebek bakar,Pepes teri,Apel,Cenil,460.0
174,Chicken nugget,Ikan mujair goreng,Hati ayam goreng,Kue apem,Kacang mete sangrai asin,1268.0
175,Gulai tunjang,Mie ayam,Oseng tahu tomat,Kue bolu,Sukun goreng,729.9
176,Kacang panjang bumbu kuning,Cumi goreng,Terong balado,Klepon,Bluberi,686.5
177,Pepes ayam,Telur puyuh bumbu kuning,Tumis bandeng,Talam ubi,Pempek kapal selam,766.4
178,Semur ayam,Cumi hitam,Tahu bumbu kukus,Jus belimbing berembun,Kue sus,1369.5
179,Ketoprak ,Sup ayam,Ikan belida bakar,Manggis,Puding vanila,1285.0
180,Sayur bening bayam,Ayam teriyaki,Tempe pesmol,Talam nangka,Kue sus,1561.8
181,Tumis sawi putih,Bubur sapi,Kalio ayam,Pisang bakar saus manis,Bakwan,1240.5
182,Nasi goreng ,Tahu cabe garam,Tahu siksa,Rujak buah,Kue sus,873.8
183,Teri basah goreng renyah,Babat sapi,Sop kaki sapi,Kurma,Pie susu,715.0
184,Nasi goreng ayam,Bakso sapi,Mie rebus tauge,Jus nanas,Jus alpukat ,647.3
185,Tumis kol,Chicken katsu,Salmon asap,Jus stroberi,Es buah,1601.0
186,Tumis pakcoy,Bakso aci,Sop buntut,Talam ubi,Sawo,933.3
187,Urap,Pepes bandeng presto,Sate bandeng,Salak,Sukun goreng,818.4
188,Gulai tunjang,Ayam woku,Ayam panggang bumbu bacem,Klepon,Sukun goreng,505.7
189,Usus ayam goreng,Sambal teri,Ayam panggang bumbu bacem,Es kelapa muda,Tape singkong,602.7
190,Urap,Gudeg,Teri kacang balado,Jus mangga,Kue nagasari,936.0
191,Tempe goreng,Bakmi,Urab,Apel,Duku,620.0
192,Soto ayam,Ayam teriyaki,Salmon asap,Jus nanas,Pempek ,1983.0
193,Tahu balado,Chicken katsu,Kerang asap,Jus apel,Es doger,1233.0
194,Nasi kuning,Ikan salmon panggang,Tempe pesmol,Lemang manis isi pisang,Jus semangka,1344.1
195,Ketoprak ,Ayam woku,Kangkung bumbu kare,Salak,Pempek kapal selam,826.3
196,Chicken nugget,Garang asem ayam,Daun singkong bumbu iris,Durian,Bolu pisang,1056.0
197,Tumis labu siam,Abon sapi,Ayam geprek,Pisang ,Bolu kukus,1639.0
198,Soto kudus,Mie ayam,Gulai ayam,Jus wortel tomat,Dimsum,1111.0
199,Tumis labu siam,Pepes bandeng presto,Sayur bobor,Nanas,Cireng isi ayam,488.4
200,Nasi pecel,Sup nasi ayam,Semur daging,Sup buah serut,Es krim,770.3
201,Chicken nugget,Ikan lele panggang,Semur daging,Jus nanas,Jus semangka,1332.0
202,Tumis pakcoy,Ayam cincang buncis,Kerang asap,Es teler,Cireng isi ayam,1038.0
203,Soto daging ,Tahu bacem,Bubur manado,Buah naga,Roti isi coklat,590.0
204,Nasi bakar,Abon ayam,Tumis tahu kentang seledri,Jus melon,Kue kacang,740.0
205,Laksa palembang,Pepes bandeng presto,Kalio kikil,Sup buah serut,Martabak telur,947.6999999999999
206,Tumis daun pepaya,Spageti,Telur asin,Talam ubi,Tahu walik,1085.3
207,Soto banjar,Ikan kuah kuning,Ikan bandeng goreng,Rambutan,Kue pancong,521.0
208,Sayur pakis,Iga bakar,Tumis kapri manis,Jus mangga,Mangga kweni,278.5
209,Tumis kangkung,Spageti,Sandwich ikan tuna panggang,Kue apem,Apel fuji,870.2
210,Gulai pakis,Ceker mercon,Tempe mendoan,Batagor,Sari apel,1042.0
211,Bubur nasi,Tumis bayam,Sayur siram bumbu tumis,Susu,Bolu pisang,853.1
212,Sayur umbut kelapa,Ayam bakar,Rendang,Batagor,Tahu sumedang,1258.0
213,Ikan bawal goreng,Pepes bandeng presto,Gulai ikan ,Jus pepaya kayu manis,Martabak telur,414.7
214,Pepes tongkol,Ceker mercon,Kalio telur,Jus apel,Onde-onde,1037.0
215,Urap megono,Garang asem ayam,Mie rebus tauge,Kelengkeng,Kue bawang,343.3
216,Kacang panjang bumbu kuning,Bakso aci,Ikan bakar bumbu kecap,Kue bugis,Tahu sumedang,580.0
217,Nasi uduk,Karedok,Mie rebus tauge,Jus Buah naga,Es krim,387.3
218,Ikan bawal goreng,Beef teriyaki,Perkedel tahu,Cilok,Pempek ,1129.0
219,Nasi goreng tuna,Mie ayam,Ikan cakalang asap,Salad buah,Jus wortel ,530.7
220,Tempe masak wijen,Udang asam manis,Bubur manado,Batagor,Bakpia,1791.2
221,Ayam suwir kemangi,Bening bayam tauge,Oseng buncis tempe,Sari seledri timun,Tahu walik,1229.3
222,Nasi bakar,Tumis buncis wortel bintik,Gadon tahu jamur,Jus melon,Kue kacang,368.9
223,Tempe bacem,Ikan lele panggang,Ayam kecap ,Salak,Pempek kapal selam,1304.0
224,Tahu balado,Tempe orek,Paru sapi goreng,Jus apel,Es buah,856.0
225,Nasi ciprat,Kari daging sapi,Rendang,Jus pepaya belimbing,Es buah,774.3000000000001
226,Gulai pakis,Sate kambing,Kalio ayam,Jus nanas,Tahu isi,1517.0
227,Nasi goreng spesial,Tempe orek,Sayur bobor,Es kelapa muda,Bubur sumsum,1035.0
228,Tumis labu siam,Ikan patin bakar,Teri kacang balado,Anggur ,Duku,926.0
229,Nasi kuning,Tumis bayam,Tumis bandeng,Jus jambu,Jus alpukat ,1611.0
230,Sayur asem,Tekwan,Tempe goreng tepung,Mentimun serut,Tahu sumedang,772.1
231,Urap,Ikan salmon panggang,Lobstre panggang,Jus Buah naga,Tahu walik,1503.0
232,Nasi liwet,Telur puyuh bumbu kuning,Ikan baung bakar,Putu mayang,Bolu pisang,792.1
233,Tumis labu siam,Kari daging sapi,Ikan mujair pepes,Jus mentimun jambu,Tahu gejrot,923.5
234,Telur dadar,Kari daging sapi,Tahu bumbu kukus,Jus mangga,Wajik ,810.9
235,Nasi goreng spesial,Tumis pepaya muda,Lumpia basah,Stroberi,Es krim,889.1
236,Ketoprak ,Mie bakso,Salmon asap,Sari buah tropika,Kue cucur,1489.0
237,Nasi uduk,Rendang,Sop kaki sapi,Puding coklat,Puding vanila,1081.0
238,Lontong sayur,Nasi hijau harum,Nasi goreng kunyit,Lemang manis isi pisang,Kue nagasari,310.6
239,Bubur ayam,Ceker mercon,Gulai ayam,Sari seledri campur,Sukun goreng,774.0
240,Nasi uduk,Ayam teriyaki,Tuna bumbu rica-rica,Talam nangka,Bolu kukus,1878.3
241,Kwetiau udang sambal rujak,Sup nasi ayam,Lodeh terong,Pisang panggang saus kurma,Tahu gejrot,804.8
242,Nasi goreng tuna,Tuna bumbu pepes,Tumis ikan tongkol,Apel,Kue pancong,393.7
243,Nasi kuning,Chicken katsu,Pecel ,Sari seledri timun,Jus jeruk,1596.0
244,Soto ayam,Tumis buncis wortel bintik,Ikan belida bakar,Getuk kacang hijau,Sosis solo,506.0
245,Nasi goreng ,Cumi goreng,Sayur siram bumbu tumis,Sup buah tropika,Mangga kweni,803.0
246,Tumis genjer,Sate taichan,Brengkes patin,Buah naga,Bolu pisang,1037.0
247,Tumis kangkung,Ikan patin goreng,Sayur rica rodoh,Jus belimbing berembun,Dimsum,886.4000000000001
248,Nasi goreng ayam,Ayam penyet,Udang goreng tepung,Jus mentimun jambu,Martabak manis,1329.5
249,Pepes ayam,Bakso sapi,Oseng buncis tempe,Pisang ,serabi,1309.0
250,Semur tahu,Tumis buncis wortel bintik,Tumis bandeng,Kue bugis,Jus wortel ,999.0
251,Telur ceplok air acar kuning,Pepes bandeng presto,Saboko gurita,Talam nangka,Es krim,325.2
252,Sayur bening bayam,Cap cay sayur,Ikan bakar bumbu kecap,Cimol,Kacang mete sangrai asin,1164.5
253,Gado-gado,Bakmi,Tuna bumbu rica-rica,Melon,Cenil,901.0
254,Nasi goreng spesial,Karedok,Pempek kulit,Jus nanas,Kue nagasari,1519.0
255,Bubur ketan hitam,Sate ayam,Paru sapi goreng,Cimol,Martabak telur,1113.0
256,Tumis kangkung,Chicken katsu,Daun singkong bumbu iris,Lemang manis isi pisang,Kue sus,1409.6
257,Udang panggang,Ikan belanak goreng,Lobstre panggang,Kue bugis,Tahu walik,1571.0
258,Chicken nugget,Cumi hitam,Sayur nangka,Pisang panggang saus kurma,Bolu kukus,1282.5
259,Ayam suwir kemangi,Rendang,Tumis ikan tongkol,Talam nangka,Pie susu,651.3
260,Soto daging ,Tumis bayam,Kalio kikil,Manggis,Onde-onde,1166.0
261,Lontong sayur,Mie bakso,Opor ayam,Jus pepaya kayu manis,Sukun goreng,483.3
262,Kwetiau udang sambal rujak,Ikan patin goreng,Pempek kulit,Jus stroberi,Semangka,711.3
263,Telur orak-arik,Sambal teri,Tempe pesmol,Dadar gulung,Jus semangka,432.5
264,Perkedel kentang,Ikan mujair goreng,Ampela goreng ,Es kelapa muda,Kue nagasari,791.0
265,Tuna bakar bumbu bali,Ayam masak merah,Tumis tahu kentang seledri,Rujak jeruk bali,Kue pukis,412.9
266,Bubur nasi,Bebek bakar,Kangkung bumbu kare,Jus nanas,Kacang mete sangrai asin,658.3
267,Ikan tongkol goreng,Mie ayam,Lumpia basah,Pisang ,Risol bihun ,767.1
268,Tumis sawi putih,Ayam betutu,Nasi goreng kunyit,Batagor,Kue cucur,764.0
269,Chicken karage,Ayam woku,Kalio telur,Sari buah tropika,Tahu walik,1777.0
270,Tumis sawi putih,Mie ayam,Tahu siksa,Jus stroberi,Yogurt,521.8
271,Ikan kembung balado,Ayam saus mentega,Daun singkong bumbu iris,Jus pepaya kayu manis,Martabak manis,1095.3
272,Sayur umbut kelapa,Babat sapi,Ikan baung bakar,Pisang panggang saus kurma,Bolu pisang,827.5
273,Nasi uduk,Sate kambing,Tahu telur,Jus apel,Bluberi,1295.0
274,Tumis genjer,Kepiting panggang,Sayur rica rodoh,Jus apel,Kue kacang,901.8
275,Gado-gado,Ikan tuna sambal goreng,Daun singkong bumbu iris,Jus pepaya kayu manis,Tahu sumedang,690.3
276,Ketoprak ,Spageti,Kalio telur,Kurma,Kue kacang,1304.0
277,Pecel sayur,Tuna bumbu kari,Tahu bumbu merah,Jus jambu,Tahu isi,1023.3
278,Perkedel kentang,Garang asem ayam,Terong goreng,Jus wortel tomat,Sari apel,501.0
279,Sayur umbut kelapa,Bakso ikan,Ayam kalasan,Talam nangka,Wajik ,744.6999999999999
280,Ikan kembung balado,Bening bayam tauge,Teri kacang balado,Anggur ,Tahu gejrot,864.3
281,Ketoprak ,Ikan panggang siram acar,Paru sapi goreng,Talam nangka,Kue cucur,895.0
282,Tumis labu siam,Ikan tuna sambal goreng,Lumpia basah,Manggis,Bakpia,670.1
283,Pepes tongkol,Asem-asem kangkung,Bihun goreng,Pir,Semangka,238.5
284,Telur ceplok air acar kuning,Asem-asem kangkung,Spageti udang,Nanas,Bubur sumsum,259.0
285,Pecel sayur,Ayam bakar,Kalio telur,Kue tapioka,Kue kacang,1438.6
286,Nasi bakar,Karedok,Ayam panggang bumbu bacem,Dadar gulung,Kacang mete sangrai asin,697.7
287,Tumis kacang panjang tempe,Tumis buncis wortel bintik,Oseng tahu tomat,Pepaya,Sari apel,332.9
288,Gado-gado,Ikan panggang siram acar,Semur daging,Pepaya,Bluberi,528.7
