makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat,natrium_makan_pagi,natrium_makan_siang,natrium_makan_malam,natrium_snack_1,natrium_snack_2
nasi pecel,cumi hitam,orak arik bening soun,jus melon,dimsum,1019.5,1,8,471,89.5,16,435
udang panggang,bubur sapi,saboko gurita,stroberi,ronde,1039,1,512,320,200,1,6
ketoprak,chicken katsu,tahu bumbu kukus,susu murni,tape singkong,1137.9,1,391,680,19.9,40,7
ayam suwir kemangi,tempe penyet,udang goreng tepung,asinan bengkuang nanas,cempedak,1013.6,1,274,241,487,5.6,6
tempe masak wijen,onigiri,oseng buncis tempe,getuk kacang hijau,risol bihun,1138.2,1,4.2,140,772,19,203
pepes ayam,tuna bumbu pepes,semur daging,klepon,cireng isi ayam,1140,1,149,280,370,79,262
nasi goreng udang,sup nasi ayam,bihun goreng,sari seledri campur,seblak,1184.5,1,467,339,92.5,19,267
laksa palembang,sambal teri,sup bola ayam,klepon,bubur sumsum,1062,1,240,150,538,79,55
chicken nugget,beef teriyaki,daun singkong bumbu iris,talam nangka,kue cucur,1073.3,1,574,377,3,4.3,115
nasi goreng ayam,chicken katsu,ayam kalasan,talam nangka,pastel,1174.7,1,302,680,28.4,4.3,160
ayam goreng,sambal teri,sup bola ayam,sari seledri timun,kue pancong,1113,1,350,150,538,23,52
pepes tahu,sate ayam,pecel,cilok,bolu pisang,1132,1,269,355,23,221,264
nasi kebuli,garang asem ayam,ayam kecap,kelengkeng,wajik,1147,1,166,213,628,0,140
nasi goreng tuna,udang goreng,sop kambing,mangga,pisang,1135.7,1,41.7,707,384,2,1
kwetiau goreng,tumis bayam,gulai kambing,kelengkeng,susu kedelai,1126,1,500,408,163,0,55
sayur bening bayam,nasi hijau harum,ikan gurame asam manis,getuk kacang hijau,kue sus,1107,1,162,78,509,19,339
soto betawi,sate kambing,udang goreng tepung,lemang manis isi pisang,sawo,1055.6,1,194,359,487,3.6,12
soto betawi,ikan tuna panggang,ikan gabus asap,anggur,pie susu,1052,1,194,366,320,2,170
gulai pakis,sayur tahu toge,gulai daging sapi,jambu biji,kacang mete sangrai asin,1143,1,352,256,225,2,308
telur balado,bakso aci,sup bola ayam,salak,onde-onde,1190,1,356,214,538,2,80
nasi uduk,dendeng sapi,teri balado,klepon,sukun goreng,1144,1,198,443,422,79,2
kwetiau udang sambal rujak,bening bayam tauge,ayam kecap,kue apem,seblak,1098.6,1,91.3,12.3,628,100,267
telur ceplok,tempe orek,tumis bandeng,jus nanas,dimsum,1054,1,94,209,314,2,435
tempe panggang,ikan tongkol balado,oseng buncis tempe,jus jambu,semangka,1158,1,31,352,772,2,1
bubur ayam,ceker mercon,pecel,es teler,dimsum,1159,1,244,302,23,155,435
sayur asem,mie bakso,telur asin,kue bugis isi kacang hijau,kue nagasari,1122,1,308,193,483,8,130
laksa palembang,ayam penyet,ikan belida bakar,jus pepaya kayu manis,lemper,1011.3,1,240,288,293,5.3,185
soto daging,ayam goreng,paru sapi goreng,pisang,kacang mete sangrai asin,1167,1,152,350,356,1,308
nasi goreng tuna,mie bakso,salmon asap,rujak buah,yogurt,1107.7,1,41.7,193,784,69,20
teri basah goreng renyah,sate taichan,ayam geprek,rujak buah,susu kedelai,1134,1,40,510,460,69,55
soto bandung,sate taichan,sandwich ikan tuna panggang,kue bolu,kue pancong,1075.2,1,132,510,153.2,228,52
tumis daun pepaya,cumi goreng,paru sapi goreng,pisang,lemper,1090,1,213,335,356,1,185
sayur umbut kelapa,onigiri,perkedel tahu,jus melon,risol bihun,1065,1,317,140,389,16,203
telur orak-arik,ikan lele panggang,sambal udang,puding coklat,takoyaki,1065,1,211,385,73,129,267
belut goreng,ikan tuna panggang,sup kentang,melon,tape singkong,1090,1,283,366,418,16,7
udang panggang,bening bayam tauge,udang goreng tepung,rambutan,kue pukis,1118.3,1,512,12.3,487,10,97
udang panggang,sup telur,pecel,sari seledri campur,bolu kukus,1132,1,512,355,23,19,223
tumis kol,cumi hitam,bubur manado,jus wortel tomat,seblak,1113,1,114,471,242,19,267
tumis sawi putih,pempek adaan,sayur bobor,mangga,kue sus,1099,1,211,487,60,2,339
ayam suwir kemangi,ikan tongkol balado,tumis tahu kentang seledri,kue bugis isi kacang hijau,dimsum,1075,1,274,352,6,8,435
belut goreng,bakso ayam,pecel,talam nangka,tahu isi,1022.3,1,283,442,23,4.3,270
chicken nugget,kerang panggang,oseng tahu tomat,rambutan,cempedak,1122.9,1,574,527,5.9,10,6
telur orak-arik,oseng tahu,sup kentang,jus nanas,bakwan,1200,1,211,405,418,2,164
semur ayam,sate ayam,tumis ikan tongkol,melon,martabak manis,1176,1,536,355,19,16,250
soto bandung,cumi hitam,ikan gabus asap,jus pepaya belimbing,tahu gejrot,1097.1,1,132,471,320,7.1,167
tumis pare,ikan mujair goreng,sate bandeng,melon,lemper,1063,1,125,194,543,16,185
kering tempe,ayam masak merah,ayam taliwang,es kuwut,sukun goreng,1011,1,221,282,432,74,2
teri basah goreng renyah,beef burger,ayam geprek,jus nanas,jus semangka,1075,1,40,572,460,2,1
soto daging,kari daging sapi,kerang asap,rambutan,kue kacang,1004,1,152,551,160,2,139
ayam suwir kemangi,bakso ayam,bubur manado,kurma,kue nastar,1096,1,274,442,242,16,122
tumis sawi putih,bakso ayam,kalio kikil,durian,semangka,1175,1,211,442,519,2,1
dendeng sapi,ayam woku,semur daging,kelengkeng,markisa,1024,1,443,183,370,0,28
sayur umbut kelapa,asem-asem kangkung,ikan gurame asam manis,jus pepaya belimbing,wajik,1005.1,1,317,32,509,7.1,140
semur ayam,tahu bacem,jengkol balado,es kelapa muda,lemper,1023,1,536,69,225,8,185
soto bandung,cumi hitam,daging sapi panggang,pisang,bolu kukus,1044,1,132,471,217,1,223
dendeng sapi,kerang panggang,ikan mujair pepes,manggis,bubur sumsum,1090,1,443,527,58,7,55
paha ayam panggang,ayam rendang,ayam taliwang,mangga,mangga kweni,1116,1,406,274,432,2,2
coto makasar,bakso ikan,kalio telur,stroberi,sari apel,1070,1,271,255,540,1,3
urap,ikan tuna panggang,teri kacang balado,melon,pempek,1096,1,251,366,406,16,57
tumis buncis,kari daging sapi,terong balado,jus wortel tomat,tape singkong,1102,1,263,551,262,19,7
dendeng sapi,spageti,ikan panggang,dadar gulung,bubur sumsum,1153,1,443,232,356,67,55
tumis kacang panjang tempe,ikan tuna sambal goreng,nasi goreng sayur,rujak jeruk bali,kacang mete sangrai asin,1023.9,1,295,360,52.2,8.7,308
tahu balado,beef burger,pecel,jeruk,tahu isi,1133,1,266,572,23,2,270
dendeng sapi,tumis oncom,gulai daging sapi,kue apem,bakwan,1194,1,443,262,225,100,164
ayam rica-rica,bakso ayam,semur telur,jus stroberi,markisa,1126,1,238,442,417,1,28
nasi goreng,tuna bumbu kari,ikan bandeng goreng,rambutan,cenil,1070,1,415,400,215,10,30
ketoprak,ikan mujair goreng,ayam taliwang,melon,kue beras,1042,1,391,194,432,16,9
ayam suwir kemangi,tahu cabe garam,ayam kecap,manggis,lemper,1134,1,274,40,628,7,185
ayam rica-rica,sambal teri,tahu telur,jus stroberi,pisang,1124,1,238,150,734,1,1
ikan mas goreng,sayur bunga pepaya,salmon asap,pisang,pempek,1020,1,88,90,784,1,57
soto bandung,dendeng sapi,teri balado,nanas,lemper,1183,1,132,443,422,1,185
tumis sawi putih,ayam rendang,teri balado,pepaya,wajik,1050,1,211,274,422,3,140
tumis pare,sate taichan,tumis kapri manis,es kelapa muda,sup kacang,1007.5,1,125,510,1.5,8,363
chicken nugget,babat sapi,rendang,jus pepaya kayu manis,bolu pisang,1095.3,1,574,68,184,5.3,264
nasi goreng spesial,rendang,ikan baung bakar,kue bugis isi kacang hijau,kue cucur,1178,1,703,184,168,8,115
paha ayam panggang,oseng tahu,gulai daging sapi,rujak buah,sukun goreng,1107,1,406,405,225,69,2
nasi liwet,oseng tahu,orak arik bening soun,susu murni,tahu isi,1032.5,1,228,405,89.5,40,270
sayur asem,ayam penyet,sate bandeng,apel,cenil,1170,1,308,288,543,1,30
tempe goreng,tumis buncis wortel bintik,ayam kecap,mangga,kue bawang,1000,1,277,26,628,2,67
usus ayam goreng,tumis oncom,pepes teri,sari seledri campur,kue sus,1098,1,411,262,67,19,339
pepes tahu,kepiting panggang,lodeh terong,jus belimbing berembun,kue nagasari,1138.6,1,269,539,197,3.6,130
telur ceplok air acar kuning,ayam saus mentega,bihun goreng,kue bolu,wajik,1101,1,80.5,560,92.5,228,140
nasi goreng spesial,ayam lada hitam,tumis kapri manis,sari seledri timun,serabi,1044.5,1,703,220,1.5,23,97
udang panggang,kerang panggang,hati ayam goreng,jus stroberi,susu kedelai,1187,1,512,527,92,1,55
gulai pakis,tumis buncis wortel bintik,kalio ayam,rujak buah,markisa,1009,1,352,26,534,69,28
paha ayam panggang,ayam masak merah,teri kacang balado,mentimun serut,kue pukis,1197.1,1,406,282,406,6.1,97
pepes ayam,ikan salmon panggang,ikan gurame asam manis,rujak buah,cempedak,1200,1,149,467,509,69,6
ketoprak,tuna bumbu pepes,ayam geprek,susu murni,pisang,1172,1,391,280,460,40,1
paha ayam panggang,tempe orek,semur telur,pepaya,sale pisang,1096,1,406,209,417,3,61
nasi kuning,tumis pepaya muda,daun singkong bumbu iris,melon,sale pisang,1074,1,869,125,3,16,61
ketoprak,ikan lele panggang,pepes tongkol sambal dabu-dabu,jus mentimun jambu,takoyaki,1072.3,1,391,385,26.8,2.5,267
gado-gado,gudeg,sate bandeng,cilok,tahu walik,1185,1,126,147,543,221,148
nasi goreng udang,mie bakso,sop buntut,jus pepaya belimbing,semangka,1146.1,1,467,193,478,7.1,1
tumis sawi putih,ikan salmon panggang,brengkes patin,kue bolu,lemper,1134,1,211,467,43,228,185
soto daging,ikan kuah kuning,lobstre panggang,dadar gulung,pie susu,1181,1,152,162,630,67,170
tumis sawi putih,ikan panggang siram acar,sup bola ayam,kelengkeng,cireng isi ayam,1039.7,1,211,28.7,538,0,262
coto makasar,mie ayam,ayam geprek,sari buah tropika,kue kacang,1155,1,271,279,460,6,139
nasi goreng,tumis bayam,tumis ikan tongkol,pisang,bolu pisang,1107,1,415,408,19,1,264
perkedel kentang,ayam saus mentega,jengkol balado,jus nanas,kue pukis,1088,1,204,560,225,2,97
ikan tongkol goreng,ceker mercon,tuna bumbu rica-rica,sari buah tropika,pastel,1112,1,244,302,400,6,160
tempe bacem,tumis pepaya muda,semur telur,kue bolu,pie susu,1008,1,68,125,417,228,170
chicken nugget,ayam masak merah,kerang asap,apel,es doger,1141,1,574,282,160,1,124
coto makasar,kari ayam,rendang,jus stroberi,tape singkong,1087,1,271,624,184,1,7
tumis pare,chicken katsu,terong goreng,rujak jeruk bali,pempek kapal selam,1096.7,1,125,680,62,8.7,221
tumis buncis,bakmi,teri balado,klepon,semangka,1094,1,263,329,422,79,1
ketoprak,tahu bacem,ikan baung bakar,cilok,bakwan,1013,1,391,69,168,221,164
dendeng sapi,chicken katsu,tumis kapri manis,susu murni,jus semangka,1165.5,1,443,680,1.5,40,1
ketoprak,sup ayam,mie rebus tauge,kue bugis,pempek kapal selam,1167.3,1,391,459,35.3,61,221
gulai pakis,abon ayam,tempe mendoan,kue tapioka,duku,1000.6,1,352,410,233,4.6,1
ayam rica-rica,sup telur,ampela goreng,jus pepaya belimbing,kacang mete sangrai asin,1163.1,1,238,355,255,7.1,308
ayam suwir kemangi,iga bakar,kari daging domba,kue bugis isi kacang hijau,sup kacang,1127,1,274,272,210,8,363
soto bandung,kepiting panggang,ikan bandeng goreng,pisang bakar saus manis,martabak manis,1147.5,1,132,539,215,11.5,250
kacang panjang bumbu kuning,sate taichan,terong balado,kue bugis isi kacang hijau,tahu isi,1059.5,1,9.5,510,262,8,270
pepes ayam,sup telur,udang goreng tepung,jambu biji,risol bihun,1196,1,149,355,487,2,203
telur ceplok air acar kuning,sate usus,teri kacang balado,nanas,bakpia,1110.5,1,80.5,505,406,1,118
perkedel kentang,abon ayam,teri balado,pir,onde-onde,1117,1,204,410,422,1,80
paha ayam panggang,ayam rendang,ikan gabus asap,pisang,sale pisang,1062,1,406,274,320,1,61
nasi liwet,kari daging sapi,tahu siksa,jus apel,martabak manis,1042.8,1,228,551,10.8,3,250
soto daging,kari ayam,sop kambing,mangga,jus wortel,1191,1,152,624,384,2,29
kering tempe,sambal teri,kalio ayam,apel,martabak telur,1041,1,221,150,534,1,135
ikan tongkol goreng,ikan salmon panggang,ikan panggang,manggis,sale pisang,1135,1,244,467,356,7,61
ketoprak,tumis bayam,tahu bumbu merah,pisang bakar saus manis,kue sus,1154.8,1,391,408,5.3,11.5,339
tempe masak wijen,oseng tahu,sop kambing,cilok,kue beras,1023.2,1,4.2,405,384,221,9
soto bandung,ayam cincang buncis,gulai ayam,puding coklat,kacang mete sangrai asin,1017,1,132,241,207,129,308
kering tempe,spageti,ayam kecap,rujak pepaya alpukat,cempedak,1100.8,1,221,232,628,13.8,6
ayam goreng,abon ayam,mie hokian,jus mangga,pie susu,1009.8,1,350,410,77.8,2,170
tumis kangkung,chicken katsu,spageti udang,pir,jus semangka,1156.5,1,384,680,90.5,1,1
pepes tahu,udang goreng,pepes teri,jambu biji,mangga kweni,1047,1,269,707,67,2,2
tumis pakcoy,spageti,sup kentang,batagor,sari apel,1025,1,220,232,418,152,3
telur dadar,garang asem ayam,lobstre panggang,kue bugis,pie susu,1172,1,98,213,630,61,170
ayam suwir kemangi,ayam woku,telur asin,kue bugis,bakpia,1119,1,274,183,483,61,118
semur jengkol,ayam penyet,lobstre panggang,kelengkeng,kue bawang,1045,1,60,288,630,0,67
usus ayam goreng,bakso sapi,terong balado,asinan bengkuang nanas,wajik,1108.6,1,411,290,262,5.6,140
tumis kol,kari daging sapi,terong balado,pisang bakar saus manis,kue bawang,1005.5,1,114,551,262,11.5,67
soto bandung,chicken katsu,urab,pisang panggang saus kurma,cireng isi ayam,1096.5,1,132,680,12,10.5,262
laksa palembang,sayur bunga pepaya,salmon asap,buah naga,cenil,1146,1,240,90,784,2,30
telur orak-arik,sayur tahu toge,ayam geprek,jus nanas,bakwan,1093,1,211,256,460,2,164
chicken karage,pepes bandeng presto,urab,talam nangka,puding vanila,1071.7,1,900,20.4,12,4.3,135
coto makasar,tumis bayam,paru sapi goreng,salak,markisa,1065,1,271,408,356,2,28
gulai pakis,bakso ayam,lodeh terong,es teler,cempedak,1152,1,352,442,197,155,6
tempe panggang,kari daging sapi,tumis bandeng,es kuwut,susu kedelai,1025,1,31,551,314,74,55
soto betawi,ikan tongkol balado,opor ayam,cilok,jus alpukat,1004,1,194,352,219,221,18
ikan tongkol goreng,sup ayam,paru sapi goreng,mangga,serabi,1158,1,244,459,356,2,97
tempe goreng,ayam masak merah,saboko gurita,talam nangka,dimsum,1198.3,1,277,282,200,4.3,435
nasi liwet,bening bayam tauge,lodeh terong,cimol,dimsum,1062.3,1,228,12.3,197,190,435
kering tempe,bakso aci,sop kaki sapi,es kelapa muda,tahu gejrot,1045,1,221,214,435,8,167
kering tempe,ikan lele panggang,tuna bumbu rica-rica,salad buah,ronde,1017,1,221,385,400,5,6
semur jengkol,udang goreng,sayur nangka,asinan bengkuang nanas,bolu pisang,1040.6,1,60,707,4,5.6,264
nasi kebuli,sup ayam,teri kacang balado,nanas,sukun goreng,1034,1,166,459,406,1,2
paha ayam panggang,sate ayam,semur telur,rujak pepaya alpukat,sukun goreng,1193.8,1,406,355,417,13.8,2
nasi uduk,kari ayam,terong goreng,es teler,es krim,1059,1,198,624,62,155,20
semur tahu,sayur tahu toge,bandeng presto,putu mayang,duku,1155,1,569,256,270,59,1
usus ayam goreng,ayam betutu,ikan bakar bumbu kecap,jus pepaya kayu manis,sup kacang,1129.8,1,411,251,99.5,5.3,363
bubur nasi,tumis oncom,ikan gurame asam manis,melon,bolu kukus,1136,1,126,262,509,16,223
nasi kebuli,ayam bakar,tumis bandeng,jeruk,bakpia,1009,1,166,409,314,2,118
nasi kuning,tumis pepaya muda,tumis kapri manis,jus pepaya belimbing,tahu gejrot,1169.6,1,869,125,1.5,7.1,167
tuna bakar bumbu bali,ayam panggang,ayam geprek,durian,wajik,1026.2,1,19.2,405,460,2,140
telur dadar,tumis oncom,telur asin,cimol,jus jeruk,1034,1,98,262,483,190,1
tahu balado,pempek adaan,sambal udang,es kuwut,pempek kapal selam,1121,1,266,487,73,74,221
bubur ayam,ayam masak merah,semur telur,getuk kacang hijau,kue bawang,1029,1,244,282,417,19,67
telur balado,ikan tuna panggang,ikan belida bakar,jus wortel tomat,apel fuji,1035,1,356,366,293,19,1
sayur umbut kelapa,sate padang,tumis bandeng,jus melon,sosis solo,1075,1,317,347,314,16,81
belut goreng,onigiri,bubur manado,susu,sup kacang,1069,1,283,140,242,41,363
paha ayam panggang,sup telur,ikan panggang,jus pepaya kayu manis,kue beras,1131.3,1,406,355,356,5.3,9
gulai tunjang,sup telur,tumis bandeng,jus buah naga,kue cucur,1006,1,215,355,314,7,115
belut goreng,ikan tongkol balado,nasi goreng sayur,jeruk,dimsum,1124.2,1,283,352,52.2,2,435
ketoprak,sate usus,nasi goreng kunyit,jus apel,es doger,1058,1,391,505,35,3,124
nasi uduk,tumis pepaya muda,ayam taliwang,anggur,kacang mete sangrai asin,1065,1,198,125,432,2,308
bubur ketan hitam,ayam masak merah,lobstre panggang,mangga,yogurt,1011,1,77,282,630,2,20
ayam goreng,beef burger,tahu bumbu kukus,kue apem,onde-onde,1121.9,1,350,572,19.9,100,80
pepes ikan mas,bakso ayam,bubur manado,pir,bakwan,1040,1,191,442,242,1,164
nasi bakar,ikan salmon panggang,ikan panggang,kue tapioka,kue cucur,1111.6,1,169,467,356,4.6,115
ayam rica-rica,sayur tahu toge,mie hokian,pisang bakar saus manis,dimsum,1018.3,1,238,256,77.8,11.5,435
sayur asem,bakmi,pempek kulit,jus apel,apel fuji,1198,1,308,329,557,3,1
sayur umbut kelapa,tuna bumbu pepes,tuna bumbu rica-rica,jus apel,yogurt,1020,1,317,280,400,3,20
ketoprak,ikan panggang siram acar,ayam taliwang,asinan bengkuang nanas,risol bihun,1060.3,1,391,28.7,432,5.6,203
nasi ciprat,mie bakso,perkedel tahu,pisang bakar saus manis,dimsum,1038.7,1,10.2,193,389,11.5,435
perkedel kentang,gudeg,lobstre panggang,jus melon,markisa,1025,1,204,147,630,16,28
pepes ikan mas,dendeng sapi,sambal udang,asinan bengkuang nanas,sup kacang,1075.6,1,191,443,73,5.6,363
tumis kol,abon ayam,teri balado,kelengkeng,pie susu,1116,1,114,410,422,0,170
telur balado,gudeg,ikan panggang,stroberi,bolu kukus,1083,1,356,147,356,1,223
nasi goreng spesial,pepes bandeng presto,bubur manado,susu murni,tape singkong,1012.4,1,703,20.4,242,40,7
ketoprak,sate usus,ayam panggang bumbu bacem,salak,cireng isi ayam,1186.7,1,391,505,26.7,2,262
nasi goreng,tumis oncom,ikan bakar bumbu kecap,susu,seblak,1084.5,1,415,262,99.5,41,267
pepes tongkol,ayam panggang,sop kaki sapi,batagor,kue bawang,1171,1,112,405,435,152,67
nasi bakar,ayam rendang,sop kambing,jus melon,pie susu,1013,1,169,274,384,16,170
dendeng sapi,nasi rames,daging sapi panggang,susu,kue pukis,1063,1,443,265,217,41,97
soto banjar,steak daging sapi,semur telur,durian,puding vanila,1009,1,82,373,417,2,135
dendeng sapi,kari daging sapi,sayur bobor,jambu biji,susu kedelai,1111,1,443,551,60,2,55
tumis labu siam,sayur tahu toge,jengkol balado,cilok,tahu gejrot,1014,1,145,256,225,221,167
gulai tunjang,cumi goreng,ayam kecap,jus stroberi,ronde,1185,1,215,335,628,1,6
teri basah goreng renyah,cumi hitam,teri balado,stroberi,sosis solo,1015,1,40,471,422,1,81
nasi kebuli,kepiting panggang,sambal udang,sari seledri timun,seblak,1068,1,166,539,73,23,267
kupat tahu,nasi hijau harum,tahu telur,klepon,cempedak,1141,1,244,78,734,79,6
gulai pakis,mie ayam,bubur manado,kelengkeng,cireng isi ayam,1135,1,352,279,242,0,262
urap megono,tuna bumbu pepes,oseng buncis tempe,sari buah tropika,kue pukis,1183,1,28,280,772,6,97
nasi goreng spesial,mie ayam,gadon tahu jamur,stroberi,apel fuji,1002.9,1,703,279,18.9,1,1
paha ayam panggang,terong bakar,kalio telur,batagor,serabi,1197,1,406,2,540,152,97
nasi goreng,sambal goreng kentang,gulai kambing,kelengkeng,sup kacang,1055,1,415,114,163,0,363
ayam goreng,bening bayam tauge,pempek kulit,jus wortel tomat,bakwan,1102.3,1,350,12.3,557,19,164
chicken nugget,tempe penyet,terong goreng,buah naga,kue nastar,1001,1,574,241,62,2,122
sayur umbut kelapa,ayam cincang buncis,tempe mendoan,kue bolu,es doger,1143,1,317,241,233,228,124
nasi bakar,sate kambing,ikan gurame asam manis,jus pepaya kayu manis,pisang,1043.3,1,169,359,509,5.3,1
ketoprak,bakso ayam,gulai daging sapi,kue tapioka,kue nagasari,1192.6,1,391,442,225,4.6,130
nasi uduk,ayam panggang,semur daging,sari seledri campur,susu kedelai,1047,1,198,405,370,19,55
kwetiau goreng,ikan patin goreng,spageti udang,kue bolu,bolu kukus,1102.5,1,500,61,90.5,228,223
kering tempe,udang goreng,tempe goreng tepung,es kuwut,sale pisang,1139,1,221,707,76,74,61
gulai pakis,beef burger,gulai ikan,kelengkeng,cempedak,1099,1,352,572,169,0,6
ketoprak,beef teriyaki,ikan belida bakar,dadar gulung,es krim,1148,1,391,377,293,67,20
ikan kembung balado,kerang panggang,gulai kambing,jeruk,martabak telur,1104,1,277,527,163,2,135
rawon,nasi hijau harum,kalio kikil,sari seledri campur,martabak manis,1037,1,171,78,519,19,250
tumis kacang panjang tempe,pecel lele,kalio kikil,jambu biji,martabak manis,1114,1,295,48,519,2,250
telur balado,sate ayam,semur daging,mangga,cempedak,1089,1,356,355,370,2,6
udang panggang,abon ayam,ayam kalasan,putu mayang,lemper,1194.4,1,512,410,28.4,59,185
kering tempe,sate kambing,ikan baung bakar,talam nangka,takoyaki,1019.3,1,221,359,168,4.3,267
nasi bakar,ayam bakar,sop kaki sapi,pepaya,es krim,1036,1,169,409,435,3,20
pepes ikan mas,ikan tuna sambal goreng,pempek kulit,salak,bubur sumsum,1165,1,191,360,557,2,55
tuna bakar bumbu bali,ikan salmon panggang,ikan panggang,kue bugis,bakpia,1021.2,1,19.2,467,356,61,118
pindang patin,tumis bayam,tumis bandeng,rujak buah,tahu sumedang,1077,1,90,408,314,69,196
pepes tahu,ikan patin goreng,lobstre panggang,klepon,mangga kweni,1041,1,269,61,630,79,2
soto daging,ayam penyet,lobstre panggang,manggis,sawo,1089,1,152,288,630,7,12
telur orak-arik,sup telur,kerang asap,salad buah,kue sus,1070,1,211,355,160,5,339
ayam suwir kemangi,pempek adaan,nasi goreng kunyit,klepon,kue nagasari,1005,1,274,487,35,79,130
gulai pakis,babat sapi,tuna bumbu rica-rica,melon,bolu kukus,1059,1,352,68,400,16,223
tumis kol,chicken katsu,makaroni bumbu merah,klepon,bolu pisang,1155,1,114,680,18,79,264
soto betawi,ayam penyet,sop kambing,jus melon,es doger,1006,1,194,288,384,16,124
nasi goreng udang,beef teriyaki,sayur nangka,lemang manis isi pisang,kue sus,1190.6,1,467,377,4,3.6,339
lontong sayur,sate kambing,ayam kecap,pisang,kue cucur,1167,1,64,359,628,1,115
nasi bakar,iga bakar,kalio telur,talam nangka,kue kacang,1124.3,1,169,272,540,4.3,139
tempe goreng,steak daging sapi,sup kentang,anggur,yogurt,1090,1,277,373,418,2,20
chicken karage,terong bakar,daging sapi panggang,jeruk,duku,1122,1,900,2,217,2,1
coto makasar,ikan panggang siram acar,sup bola ayam,puding coklat,es doger,1090.7,1,271,28.7,538,129,124
paha ayam panggang,ayam betutu,sandwich ikan tuna panggang,stroberi,martabak manis,1061.2,1,406,251,153.2,1,250
ketoprak,bakso sapi,rendang,jus apel,tahu gejrot,1035,1,391,290,184,3,167
lontong sayur,kepiting panggang,bihun goreng,susu murni,dimsum,1170.5,1,64,539,92.5,40,435
ketoprak,pempek adaan,terong balado,susu murni,tape singkong,1187,1,391,487,262,40,7
telur ceplok air acar kuning,mie ayam,sup bola ayam,jus pepaya kayu manis,bakwan,1066.8,1,80.5,279,538,5.3,164
